"Стара оферта (запазено име)","Оператор","ID при оператор","PV id","Score","PeakView заглавие"
"Париж – градът на светлината","Bohemia","6000000855","21-6000000855","0.68","Екскурзия във Франция - ПАРИЖ - градът на светлината"
"Европейските столици – Будапеща, Братислава, Прага и Виена","Doris","210","111-210","0.67","Европейските столици преди Коледа - Будапеща, Братислава, Прага и Виена"
"Магичният свят на Вроцлав и Краков","Bohemia","6000005052","21-6000005052","0.63","Екскурзия в ПОЛША - вълшебният свят на Вроцлав и Краков!"
"Екскурзия в Унгария – Будапеща (специална ваканционна програма)","Bohemia","6000003916","21-6000003916","0.63","Екскурзия в УНГАРИЯ - БУДАПЕЩА - Специална ваканционна програма за туристи над 55 години и приятели!"
"Легенди от Румъния – Букурещ, Синая, Бран и Брашов","AdvenTour","441","138-441","0.67","Легенди от Румъния ✔️ Букурещ, Синая, Бран и Брашов ✔️ от Кюстендил и Перник"
"Екскурзия в Дания – Копенхаген, градът на приказките","Bohemia","6000004799","21-6000004799","0.71","Екскурзия в ДАНИЯ - КОПЕНХАГЕН, градът на приказките и щастливите хора, 4 НОЩУВКИ!"
"Екскурзия в Швеция, Финландия и Естония – Стокхолм, Хелзинки, Талин","Bohemia","6000004551","21-6000004551","0.83","Екскурзия в ШВЕЦИЯ, ФИНЛАНДИЯ и ЕСТОНИЯ – Стокхолм, Хелзинки и Талин, с включени 2 нощувки на круизен кораб! Със самолет и обслужване на български език!"
"Коледа в ОАЕ – Най-доброто от Дубай и Абу Даби (8 дни)","Bohemia","6000005240","21-6000005240","0.77","Коледа в ОАЕ - Най-доброто от ДУБАЙ и АБУ ДАБИ - 8 дни,  с полет на Wizz Air!"
"Косово – новородената държава (22 септември)","AlbatrosTours","606","139-606","0.71","22 Септември екскурзия КОСОВО – новородената държава в сърцето на ДАРДАНИЯ!"
"Екскурзия в Етиопия – незабравимо пътуване по Северния маршрут","Bohemia","6000005029","21-6000005029","0.67","Екскурзия в ЕТИОПИЯ  – Незабравимо пътуване по Северния исторически път с водач на български език!"
"Перлите на Адриатика – екскурзия с автобус (Черна Гора)","Bohemia","6000001318","21-6000001318","0.63","Перлите на Адриатика - екскурзия с автобус"
