"refNum","Стара оферта","EUR","Нощувки","Score","t","p","n","d","Оператор","spo (ID при оператора)","PV id","PV EUR","PV заглавие"
"Е690","Сицилия – Епос от Средиземноморието","945","7","0.9","1","1","1","0","PREMIO TRAVEL","543","92-543","945.38","СИЦИЛИЯ – ЕПОС ОТ СРЕДИЗЕМНОМОРИЕТО"
"Е699","Круиз – Средиземноморска магия с Costa Smeralda","1298","8","0.9","1","1","1","0","Rual Travel","4370","31-4370","1298.00","Круиз - Средиземноморска магия - Costa Smeralda"
"Е693","Средиземноморска фантазия с MSC Meraviglia (09.10.2026)","1620","9","0.9","1","1","1","0","Apollo 2000 Ltd.","367","36-367","1620.00","СРЕДИЗЕМНОМОРСКА ФАНТАЗИЯ С MSC MERAVIGLIA 09.10.2026"
"Е659","Лефкада – изумруденият остров (3 нощувки)","200","3","0.9","1","1","1","0","Bohemia","6000001262","21-6000001262","200.00","Лефкада - изумруденият остров (3 нощувки)"
"Е658","Вълшебството на Йонийските острови – остров Лефкада","275","4","0.9","1","1","1","0","Bohemia","6000002154","21-6000002154","275.00","Вълшебството на Йонийските острови - остров Лефкада, хотел 3 *"
"Е364","Екскурзия във Франция – Ница, Кан и Монако (перлите на Лазурния бряг)","579","4","0.9","1","1","1","0","Bohemia","6000004523","21-6000004523","579.00","Екскурзия във ФРАНЦИЯ - Ница, Кан и Монако - Перлите на Лазурния бряг - със самолет и обслужване на български език!"
"Е616","Париж и Дисниленд","582","3","0.9","1","1","1","0","Doris","264","111-264","582.35","Париж и Дисниленд"
"Е727","Франция – Швейцария","838","8","0.9","1","1","1","0","Rual Travel","1052","31-1052","838.00","Франция - Швейцария"
"Е719","Дисниленд – Париж","1149","3","0.9","1","1","1","0","Rual Travel","3197","31-3197","1149.00","Дисниленд - Париж"
"Е716","Дунавски мечти – Будапеща, Братислава, Виена","325","3","0.9","1","1","1","0","Bohemia","6000003042","21-6000003042","325.00","Дунавски мечти - Будапеща - Братислава - Виена"
